link,training_body,mass_kg,com_x_m,com_y_m,com_z_m,ixx,iyy,izz,ixy,ixz,iyz
base,20v_drill_battery,6.931796,-0.0068050715699995,-0.00142723121,0.3438652180000475,1.6746405132388738,1.643490000000001,0.044621612861126675,0.0004245080278503476,-0.023719361061770347,-0.003136173933742832
left_wheel,hoverboard_motor_2,1.132605,-3.9440755e-07,-1.92833643e-07,-0.0401824131,0.002078043979999999,0.002078043979999999,0.003581705299999999,1.4012795548257992e-14,6.565007579174789e-09,3.2095020218047514e-09
right_wheel,hoverboard_motor,1.132605,-8.88580745e-12,-1.9662323e-11,-0.0401824131,0.00207804398,0.00207804398,0.0035817053,0.0,0.0,0.0
lj0_link,arm_soft_cover_23012026,0.750304,-0.0576949337,0.000152166603,-0.0793055536,0.002228070077906439,0.002363359427539396,0.0006065248165541684,3.707406212234381e-05,-0.00018445340017563062,1.34448977774335e-05
lj1_link,arm_soft_cover_23012026_2,0.148651,0.0238657366,-0.00837618025,-0.0394697702,0.00017468969074603492,0.00016064358345299745,0.00018640520980096688,-5.401333300262505e-06,1.718590226146172e-05,-3.320286316341562e-05
lj2_link,arm_soft_cover_23012026_3,0.650826,-0.0107095044,0.0400583535,-0.0796809678,0.0021126329170437753,0.00205443240250118,0.00041743593945504757,7.5701100348019584e-06,-4.384819628123413e-05,0.0002758644525166033
lj3_link,arm_soft_cover_23012026_4,0.199798,0.0295485184,-0.0480778694,-0.0455667257,0.00032156877669781625,0.000282419926394665,0.00023945756490751833,4.323149449264938e-06,5.055855324899489e-06,-0.00010431141481656188
lj4_link,arm_soft_cover_23012026_5,0.125342,-0.000163796674,0.000568408015,-0.032266893,7.728918590000005e-05,7.301105198977054e-05,2.5196731910229537e-05,-8.467273200028429e-09,-1.4927586441610745e-07,-4.65601437357303e-06
lj5_link,arm_soft_cover_23012026_6,0.047169,-0.000411864738,-0.0169473402,-0.022585011,2.4919668801577202e-05,2.478919169859237e-05,2.454072029983047e-05,-1.2795896199230658e-08,-7.484812818336997e-07,-7.21387478959628e-07
lj6_link,arm_soft_cover_23012026_7,0.234619,0.0161742021,0.0010126886,-0.0357884513,0.00017802381845448054,0.00016798158968574543,0.00011061050785977398,-7.801802797862992e-07,-4.017925941854074e-06,6.374745751115285e-06
l_finger1,arm_soft_cover_23012026_8,0.029906,0.00186611555,-0.011529999,-0.0215318206,3.54010211997997e-05,2.4310510300213926e-05,1.3628209999986427e-05,-1.6526959065340195e-07,8.85971286821578e-07,2.3176544270462598e-07
l_finger2,arm_soft_cover_23012026_9,0.017443,-0.00916223029,-0.0151622295,-0.0516249581,1.4497059500061018e-05,1.0272979100064565e-05,5.372981669874428e-06,1.5733638889581734e-07,-4.51167305679789e-07,2.6137932098263714e-06
rj0_link,mirror_arm_soft_cover_23012026,0.750304,0.0576949963,0.000152166604,-0.0793055534,0.002228070087906115,0.0023633574775394663,0.0006065228625544193,-3.7073658821802366e-05,0.00018444916917606177,1.3444975375978019e-05
rj1_link,arm_soft_cover_23012026_10,0.148651,-0.0180869968,-0.00978533724,-0.0369365583,0.00017471140103779764,0.00016089545691978156,0.00018613249604242115,5.508007510268391e-06,-1.7144015578755873e-05,-3.330531055400598e-05
rj2_link,arm_soft_cover_23012026_m,0.650826,0.00806595873,0.0340374054,-0.0796053432,0.0021134628038182316,0.002052672462759909,0.0004183857634218577,-4.37630926172962e-06,2.3207886545798538e-05,0.00028127104346489123
rj3_link,arm_soft_cover_23012026_11,0.199798,-0.0232043126,0.0477128382,0.047324596,0.0003228332292122832,0.0002839485768422245,0.00023077117294549262,4.260777059529064e-06,5.113313300268659e-06,-9.61114163213663e-05
rj4_link,arm_soft_cover_23012026_12,0.125342,-0.000162509875,-0.000568511852,-0.0322668855,7.72891166e-05,7.301113415671274e-05,2.519673454328726e-05,1.9688478145758397e-08,-1.6219914252418175e-07,4.744905879585218e-06
rj5_link,arm_soft_cover_23012026_13,0.047169,-0.0225812898,-0.0169474163,-0.000558781435,2.4648973700054e-05,2.4789098502839463e-05,2.48113538971066e-05,-7.673887169569967e-07,-7.583871750675834e-07,-6.032615529541167e-08
rj6_link,arm_soft_cover_23012026_14,0.234619,-0.0161738446,0.0357480862,0.00197802306,0.00017802370639756257,0.00011912623674184441,0.00015946617686059296,-3.900913764974814e-06,5.403379411193039e-07,-7.897197328332411e-06
r_finger1,part_29,0.029906,-0.00184372821,-0.0115300024,-0.0216017772,3.540734799977166e-05,2.432319310025762e-05,1.3634567299970682e-05,1.731069853659379e-07,-9.505012667921765e-07,2.2554485237045893e-07
r_finger2,part_30,0.017443,0.00449482473,-0.0159012929,-0.0349207803,2.1929408000294282e-05,1.6477746200084475e-05,7.23009335962122e-06,-1.3878713642851876e-07,1.1306026275265897e-06,1.595516088984122e-06
